,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0859,phags pa dbang bskur ba zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0871,phags pa dri ma med pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0871,phags pa dri ma med pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0871,phags pa dri ma med pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0872,phags pa khyad par can zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0872,phags pa khyad par can zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0872,phags pa khyad par can zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0882,phags pa dkyil 'khor brgyad pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0882,phags pa dkyil 'khor brgyad pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0882,phags pa dkyil 'khor brgyad pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0883,phags pa de bzhin gshegs pa thams cad kyi byin gyis brlabs kyi snying po gsang ba ring bsrel gyi za ma tog ces bya ba'i gzungs theg pa chen po'i mdo,translatorPandita,P8211,,rgya gar gyi mkhan po bid+ya ka ra pra b+ha,,,
D0883,phags pa de bzhin gshegs pa thams cad kyi byin gyis brlabs kyi snying po gsang ba ring bsrel gyi za ma tog ces bya ba'i gzungs theg pa chen po'i mdo,translator,P8212,,zhu chen gyi lo ts+tsha ba ban+de gtsang de ben dra rak+Shi ta,,,
D0885,phags pa nor bu chen po rgyas pa'i gzhal med khang shin tu rab tu gnas pa gsang ba dam pa'i gsang ba'i cho ga zhib mo'i rgyal po zhes bya ba'i gzungs,translatorPandita,P0AT0109,,rgya gar gyi mkhan po bid+yA gar+b+ha pra b+ha,,,
D0885,phags pa nor bu chen po rgyas pa'i gzhal med khang shin tu rab tu gnas pa gsang ba dam pa'i gsang ba'i cho ga zhib mo'i rgyal po zhes bya ba'i gzungs,translator,P4259,,lots+tsha ba ban+de dpal gyi lhun po,,,
D0887,phags pa sa'i dbang po chen po zhes bya ba'i gzungs,translatorPandita,P8210,,rgya gar gyi mkhan po dzi na mi tra/_dA na shI la,,,
D0887,phags pa sa'i dbang po chen po zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0888,phags pa gzungs chen po,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0888,phags pa gzungs chen po,translatorPandita,P8210,,dA na shI la,,,
D0888,phags pa gzungs chen po,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0890,phags pa byams pas dam bcas pa zhes bya ba'i gzungs,translatorPandita,P8232,,rgya gar gyi mkhan po badzra pA Ni,,,
D0890,phags pa byams pas dam bcas pa zhes bya ba'i gzungs,translator,P3890,,bod kyi lots+tsha ba/dge slong chos kyi shes rab,,,
D0892,phags pa 'jam dpal gyi zhal nas gsungs pa zhes bya ba'i gzungs,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar+b+ha,,,
D0892,phags pa 'jam dpal gyi zhal nas gsungs pa zhes bya ba'i gzungs,translator,P8218,,lots+tsha ba ban+de klu'i dbang po,,,
D0892,phags pa 'jam dpal gyi zhal nas gsungs pa zhes bya ba'i gzungs,revisor,P8220,,zhu chen gyi lots+tsha ba ban+de de ba tsan+d+ra,,,
D0897,phags pa byang chub sems dpa' spyan ras gzigs dbang phyug phyag stong spyan stong dang ldan pa thogs pa mi mnga' ba'i thugs rje chen po'i sems rgya cher yongs su rdzogs pa zhes bya ba'i gzungs,translator,P8221,,zhu chen gyi lots+tsha ba ban+de chos grub,,,
D0898,phags pa spyan ras gzigs dbang phyug gi gsang ba'i mdzod thogs pa med pa'i yid bzhin gyi 'khor lo'i snying po zhes bya ba'i gzungs,translator,P8221,,zhu chen gyi mkhan po dang lots+tsha ba bcom ldan 'das kyi ring lugs pa ban+de chos grub,,,
D0899,phags pa spyan ras gzigs dbang phyug zhal bcu gcig pa zhes bya ba'i gzungs,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0899,phags pa spyan ras gzigs dbang phyug zhal bcu gcig pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0901,phags pa don yod zhags pa'i snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8224,,rgya gar gyi mkhan po a mo g+ha badzra,,,
D0901,phags pa don yod zhags pa'i snying po zhes bya ba theg pa chen po'i mdo,translator,P3731,,bod kyi lots+tsha ba ba ri rin chen grags pa,,,
D0903,phags pa don yod zhags pa'i pha rol tu phyin pa drug yongs su rdzogs par byed pa zhes bya ba'i gzungs,translatorPandita,P4257,,paN+Di ta many+dzu shrI warma,,,
D0903,phags pa don yod zhags pa'i pha rol tu phyin pa drug yongs su rdzogs par byed pa zhes bya ba'i gzungs,translator,P2551,,lots+tsha ba dge slong blo ldan shes rab,,,
D0903,phags pa don yod zhags pa'i pha rol tu phyin pa drug yongs su rdzogs par byed pa zhes bya ba'i gzungs,translator,P3890,,lots+tsha ba chos kyi shes rab,,,
D0904,phags pa kun du bzang po zhes bya ba'i gzungs,translatorPandita,P8210,,rgya gar gyi mkhan po dzi na mi tra/_dA na shI la,,,
D0904,phags pa kun du bzang po zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0907,phags pa me kha la zhes bya ba'i gzungs,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA ba ra ma,,,
D0907,phags pa me kha la zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0909,phags pa spyan ras gzigs dbang phyug gi yum zhes bya ba'i gzungs,translatorPandita,P8210,,rgya gar gyi mkhan po dzi na mi tra/_dA na shI la,,,
D0909,phags pa spyan ras gzigs dbang phyug gi yum zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0912,,translatorPandita,P8946,,rgya gar gyi mkhan po ngag gi dbang phyug,,,
D0912,,translator,P1582,,lots+tsha ba klog skya shes rab brtsegs,,,
D0914,phags pa sgo mtha' yas pas sgrub pa zhes bya ba'i gzungs,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA barma,,,
D0914,phags pa sgo mtha' yas pas sgrub pa zhes bya ba'i gzungs,revisor,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes,,,
D0915,phags pa sgo bzang po zhes bya ba'i gzungs,translatorPandita,P8210,,rgya gar gyi mkhan po dzi na mi tra/_dA na shI la,,,
D0915,phags pa sgo bzang po zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0919,phags pa lus kyi dbyibs mdzes zhes bya ba'i gzungs,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0919,phags pa lus kyi dbyibs mdzes zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0922,phags pa gtsug gi nor bu zhes bya ba'i gzungs,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0922,phags pa gtsug gi nor bu zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0923,phags pa rgyal mtshan gyi rtse mo'i dpung rgyan ces bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra/,,,
D0923,phags pa rgyal mtshan gyi rtse mo'i dpung rgyan ces bya ba'i gzungs,translatorPandita2,P8210,,dA na shI la,,,
D0923,phags pa rgyal mtshan gyi rtse mo'i dpung rgyan ces bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0924,phags pa gser can zhes bya ba'i gzungs,translatorPandita,P8210,,rgya gar gyi mkhan po dzi na mi tra/_dA na shI la,,,
D0924,phags pa gser can zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0925,phags pa thams cad la mi 'jigs pa rab tu sbyin pa zhes bya ba'i gzungs,translatorPandita,P8210,,rgya gar gyi mkhan po dzi na mi tra/_dA na shI la,,,
D0925,phags pa thams cad la mi 'jigs pa rab tu sbyin pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0926,phags pa bar du gcod pa thams cad rnam par sbyong ba zhes bya ba'i gzungs,translatorPandita,P8210,,rgya gar gyi mkhan po dzi na mi tra/_dA na shI la,,,
D0926,phags pa bar du gcod pa thams cad rnam par sbyong ba zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0927,phags pa 'gro lding ba'i rig sngags kyi rgyal po,translatorPandita,P8210,,rgya gar gyi mkhan po dzi na mi tra/_dA na shI la,,,
D0927,phags pa 'gro lding ba'i rig sngags kyi rgyal po,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0928,phags pa gzhan gyis mi thub pa mi 'jigs pa sbyin pa zhes bya ba,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pra dz+nyA barma,,,
D0928,phags pa gzhan gyis mi thub pa mi 'jigs pa sbyin pa zhes bya ba,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0929,phags pa gzhan gyis mi thub pa'i rin po che'i phreng ba zhes bya ba,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0929,phags pa gzhan gyis mi thub pa'i rin po che'i phreng ba zhes bya ba,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0946,phags pa rdo rje ri rab chen po'i rtse mo'i khang pa brtsegs pa'i gzungs,translatorPandita,P8228,,rgya gar gyi mkhan po shA+e len+d+ra bo d+hi,,,
D0946,phags pa rdo rje ri rab chen po'i rtse mo'i khang pa brtsegs pa'i gzungs,translatorPandita,P8222,,dz+nyA na sid+d+hi,,,
D0946,phags pa rdo rje ri rab chen po'i rtse mo'i khang pa brtsegs pa'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0947,phags pa stobs po che zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0947,phags pa stobs po che zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0948,phags pa lag na rdo rje gos sngon po can gyi cho ga zhes bya ba'i gzungs,translatorPandita,P3379,,rgya gar gyi mkhan po dI ba~M ka ra shrI dz+nyA na,,,
D0948,phags pa lag na rdo rje gos sngon po can gyi cho ga zhes bya ba'i gzungs,translator,P4104,,bod kyi lots+tsha ba rgya brtson 'grus seng ge,,,
D0948,phags pa lag na rdo rje gos sngon po can gyi cho ga zhes bya ba'i gzungs,translationplace,-,,dpal na lan dra'i sgo 'gram du bsgyur,,,
D0949,rdo rjes rnam par 'joms pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0949,rdo rjes rnam par 'joms pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0949,rdo rjes rnam par 'joms pa zhes bya ba'i gzungs,translator,P8205,,bod kyi lo ts+tsha ba ban+de ye shes sde,,,
D0951,phags pa lag na rdo rje bcu'i snying po,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0951,phags pa lag na rdo rje bcu'i snying po,translatorPandita,P8210,,dA na shI la,,,
D0951,phags pa lag na rdo rje bcu'i snying po,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0954,phags pa rdo rje mi pham pa me ltar rab tu rmongs byed ces bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0954,phags pa rdo rje mi pham pa me ltar rab tu rmongs byed ces bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0954,phags pa rdo rje mi pham pa me ltar rab tu rmongs byed ces bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0956,phags pa rdo rje 'jigs byed kyi gzungs zhes bya ba,translator,?,,rnal 'byor gyi dbang phyug chen po don yod rdo rje,,,
D0958,phags pa be con chen po zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0958,phags pa be con chen po zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0958,phags pa be con chen po zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0963,phags pa khro bo mi g.yo ba'i gzungs zhes bya ba,translatorPandita,P8231,,paN+Di ta d+harma shrI mitra,wrongly reads d+harma tA shI la,,
D0963,phags pa khro bo mi g.yo ba'i gzungs zhes bya ba,translator,P3939,,lo ts+tsha ba dge slong chos kyi bzang po,,,
D0969,phags pa rig sngags kyi rgyal po dbugs chen po zhes bya ba,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA ba ra ma,,,
D0969,phags pa rig sngags kyi rgyal po dbugs chen po zhes bya ba,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0970,phags pa nor bu bzang po'i gzungs zhes bya ba,translatorPandita,P8213,,rgya gar gyi mkhan po bid+yA ka ra sing ha,,,
D0970,phags pa nor bu bzang po'i gzungs zhes bya ba,translator,P8218,,lo ts+tsha ba ban+de klu'i dbang po,,,
D0974,phags pa mtshan mo bzang po zhes bya ba'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0974,phags pa mtshan mo bzang po zhes bya ba'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0974,phags pa mtshan mo bzang po zhes bya ba'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0975,phags pa chos kyi rgya mtsho zhes bya ba'i gzungs,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0975,phags pa chos kyi rgya mtsho zhes bya ba'i gzungs,translatorPandita,P4CZ15493,,pradz+nyA ba ra ma,,,
D0975,phags pa chos kyi rgya mtsho zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0976,phags pa bu mang po rton pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0976,phags pa bu mang po rton pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0976,phags pa bu mang po rton pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0982,phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i gzungs,translatorPandita,P8213,,rgya gar gyi mkhan po bid+yA ka ra sid+ha,,,
D0982,phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i gzungs,translator,P4259,,zhu chen gyi lo ts+tsha ba ban+de dpal gyi lhun po'i sde,,,
D0982,phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i gzungs,translator2Pandita,P3379,,jo bo a ti sha,,,
D0982,phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i gzungs,translator2,P2557,,dge bshes 'brom ston pa,,,
D0983,kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba de bzhin gshegs pa thams cad kyi snying po dang dam tshig la rnam par lta ba zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0983,kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba de bzhin gshegs pa thams cad kyi snying po dang dam tshig la rnam par lta ba zhes bya ba'i gzungs,translatorPandita,P1KG8854,,shI len+d+ra bo d+hi,,,
D0983,kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba de bzhin gshegs pa thams cad kyi snying po dang dam tshig la rnam par lta ba zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0984,phags pa ngan 'gro thams cad yongs su sbyong ba gtsug tor rnam par rgyal ba zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0984,phags pa ngan 'gro thams cad yongs su sbyong ba gtsug tor rnam par rgyal ba zhes bya ba'i gzungs,translatorPandita,P8228,,su ren+d+ra bo d+hi,,,
D0984,phags pa ngan 'gro thams cad yongs su sbyong ba gtsug tor rnam par rgyal ba zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0988,phags ma 'od zer can zhes bya ba'i gzungs,translatorPandita,P8224,,paN+Di ta a mo g+ha badzra,,,
D0988,phags ma 'od zer can zhes bya ba'i gzungs,translator,P3731,,lo ts+tsha ba dge slong ba ri rin chen grags pa,,,
D0991,phags pa dbyig dang ldan pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0991,phags pa dbyig dang ldan pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0991,phags pa dbyig dang ldan pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0997,phags ma gza' rnams kyi yum zhes bya ba'i gzungs,revisor,???,to check,dge bsnyen grags pa rgyal mtshan,,,
D0997,phags ma gza' rnams kyi yum zhes bya ba'i gzungs,translationplace,-,,dpal ldan sa skya'i dben gnas,,,
D0999,phags pa lha mo brgyad kyi gzungs,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0999,phags pa lha mo brgyad kyi gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1003,phags ma rig sngags kyi rgyal mo chen mo rgyal ba can zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1003,phags ma rig sngags kyi rgyal mo chen mo rgyal ba can zhes bya ba,translatorPandita,P8210,,dA na shI la,,,
D1003,phags ma rig sngags kyi rgyal mo chen mo rgyal ba can zhes bya ba,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1005,phags pa dpal chen mo'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1005,phags pa dpal chen mo'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1006,dpal gyi lha mo'i mtshan bcu gnyis pa,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1006,dpal gyi lha mo'i mtshan bcu gnyis pa,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1016,phags pa rims nad rab tu zhi bar byed pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1016,phags pa rims nad rab tu zhi bar byed pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D1016,phags pa rims nad rab tu zhi bar byed pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1020,phags pa gzhang 'brum rab tu zhi bar byed pa'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1020,phags pa gzhang 'brum rab tu zhi bar byed pa'i mdo,translatorPandita,P8210,,dA na shI la,,,
D1020,phags pa gzhang 'brum rab tu zhi bar byed pa'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1037,shes rab skyed pa zhes bya ba'i gzungs,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar+b+ha,,,
D1037,shes rab skyed pa zhes bya ba'i gzungs,translator,P8218,,lots+tsha ba ban+de klu'i dbang po,,,
D1037,shes rab skyed pa zhes bya ba'i gzungs,revisor,P8220,,zhu chen gyi lo ts+tsha ba ban+de de ba tsan+d+ra,,,
D1038,shes rab skyed pa zhes bya ba'i gzungs,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar+b+ha,,,
D1038,shes rab skyed pa zhes bya ba'i gzungs,translator,P8218,,lots+tsha ba ban+de klu'i dbang po,,,
D1038,shes rab skyed pa zhes bya ba'i gzungs,revisor,P8220,,zhu chen gyi lo ts+tsha ba ban+de de ba tsan+d+ra,,,
D1039,shes rab skyed pa zhes bya ba'i gzungs,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar+b+ha,,,
D1039,shes rab skyed pa zhes bya ba'i gzungs,translator,P8218,,lots+tsha ba ban+de klu'i dbang po,,,
D1039,shes rab skyed pa zhes bya ba'i gzungs,revisor,P8220,,zhu chen gyi lo ts+tsha ba ban+de de ba tsan+d+ra,,,
D1061,mdo chen po kun du rgyu ba dang kun du rgyu ba ma yin pa dang mthun pa'i mdo zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1061,mdo chen po kun du rgyu ba dang kun du rgyu ba ma yin pa dang mthun pa'i mdo zhes bya ba,translatorPandita,P4CZ15493,,bra dz+nyA barma,,,
D1061,mdo chen po kun du rgyu ba dang kun du rgyu ba ma yin pa dang mthun pa'i mdo zhes bya ba,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1062,mdo chen po 'dus pa chen po'i mdo zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1062,mdo chen po 'dus pa chen po'i mdo zhes bya ba,translatorPandita,P4CZ15493,,pradz+nyA barma,,,
D1062,mdo chen po 'dus pa chen po'i mdo zhes bya ba,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1063,phags pa sprin chen po,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1063,phags pa sprin chen po,translatorPandita,P1KG8854,,shI len+d+ra bo d+hi,,,
D1063,phags pa sprin chen po,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1064,phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D1064,phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren+d+ra bo d+hi,,,
D1064,phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1081,jur 'gegs zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1082,lus kyi zag pa sbyin par btang ba'i gzungs,translator,P3731,,ba ri lots+tsha ba,,,
D1083,phags pa ro langs bdun pa zhes bya ba'i gzungs,translatorPandita,P8219,,rgya gar gyi mkhan po bi shud+d+ha sing+ha,,,
D1083,phags pa ro langs bdun pa zhes bya ba'i gzungs,translator,P4255,,ban+de ye shes snying po'i sde,,,
D1083,phags pa ro langs bdun pa zhes bya ba'i gzungs,revisor,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D1086,phags pa nag po chen po'i gzungs rims nad thams cad las thar bar byed pa,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pra dz+nyA barma,,,
D1086,phags pa nag po chen po'i gzungs rims nad thams cad las thar bar byed pa,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
